;SIUQ3G;STHFJP;S8APX1;SACBBR;SIRUBH;S5MEZA;SCNXZK;SC1YIM;SBWPUY;SY34ZS;SUXEKB;SG3CB2;SLWUQ2;SKYQAL;SQVR9H
Araneae;0;0.304967201;2.063378002;0.243130951;0.599453267;2.282496265;0;2.594985181;0.566151685;0.31535058;0.007361562;0.245301714;3.953243035;0.422612206;0.912595093
Blattodea;0;0;0;0;0;0;0;0.989255255;0;0;0;1.456572604;0;0;0
Coleoptera;0.197976156;0.465675136;0.229435315;0.039878069;0.021028178;0.017239398;0.089623399;0.61307587;3.185532367;3.142158458;0.00286283;3.665537024;14.25993256;13.53452384;0.078719336
Collembola;33.41071302;1.357904252;10.126069;49.40005428;19.8031362;11.60642455;26.4081876;4.726237844;29.38073288;44.14934511;39.69013278;67.54590039;59.23478326;90.56390345;46.3580611
Diptera;29.0620442;28.10329072;85.56196056;48.33503842;43.58795786;106.7946213;76.33529695;55.56388388;142.4735584;127.1456594;19.71603457;86.90999775;113.8912646;90.96380815;50.45939954
Hemiptera;0.158886562;0.030452265;1.218838096;0.237702522;0.627991509;0.539305827;0.000916863;0.412002754;5.315414832;3.423994792;0.0156774;0.51258566;0.90085338;0.170306411;1.895976567
Hymenoptera;0.012835389;0.022746581;0.200296911;1.090905294;0.025684417;0.330134468;0.244802531;1.901833541;0.302587636;0.14593211;0;0;0.253753557;0.694471699;0.181237541
Lepidoptera;0;0;1.471370926;0;0.160264755;3.061717044;3.464368396;2.342318255;4.586974588;11.45949702;0;2.972597151;0.237364128;12.90922598;0
Mesostigmata;0.003500561;0.014151782;0;0;0.00946268;0.035628089;0.013982167;0;0.031435665;0.039583755;0;0.050958808;0.407475087;0;0
Neuroptera;0.154413624;0.000889117;0;0;0;0;0;0.003874634;0;0;0;0;0;0;0
Poduromorpha;0.398869449;0.002667352;0;0.052613997;0;0;0;0;0;0;0;0;0;0.160003925;0
Psocodea;0;0;0;0.088629531;4.073308233;0;0;0;0;0;0;0;0;0;0
Sarcoptiformes;0.112795846;0.004890145;0.123186746;0.03037832;0.034846694;0;0;0.001223569;0;0;0;0;0;0;0
Thysanoptera;0;0;0.339829592;0.169116419;0;0;0;0.077016849;0.502196366;0.027444737;0;0.07419003;0.040690993;0.075060973;0.243785851
unclassified;0.065732752;0.025265747;0.016227485;0.114832137;0.091472573;0.214055856;0;0.272515929;0;1.076678132;0.112195654;0.032723548;0.071774392;0;0.285586429
