;E_SIUQ3G;F_STHFJP;L_S8APX1;O_SACBBR;N_SIRUBH;G_S5MEZA;I_SCNXZK;K_SC1YIM;B_SBWPUY;H_SY34ZS;C_SUXEKB;D_SG3CB2;M_SLWUQ2;J_SKYQAL;A_SQVR9H
Araneae;0.0250583921440591;0.135019375892311;0.0109782001117943;0.0251184117706339;0.0175986971710751;0;0.0219091393951016;0.000303026902054971;0.0209199491740788;0.113325001558497;0.128676742158992;0.0141920466040242;0.226963011031798;0.0147185613991871;0
Blattodea;0;0;0.065187255449972;0;0;0;0;0;0;0.0432015389045398;0;0;0;0;0
Coleoptera;0.000879021523469875;0.00101978380583316;0.164046953605366;0.0021666834626625;0.563613599152461;0.00585855558885226;0.123274865015491;0.0001178437952436;0.0319440914866582;0.02677349545661;0.0143080855087237;0.00232776376244622;0.818689162881246;0.146655992117256;0.00786744362180627
Collembola;0.827812241002587;0.686569447277177;3.02294019005031;1.27596660956028;3.77132200362481;1.72626610728199;1.13698605509645;1.63378076564797;0.093148665819568;0.206398446846344;0.631483697498855;2.88358134376562;3.40077871512005;2.06061091267397;1.3277199870164
Diptera;1.82206720747419;6.31735672037528;3.88955841252096;1.38885249756458;3.78797509915684;4.9899310758166;5.51349245824619;0.811578994624078;1.92781194409149;2.42651760507981;5.3358300462409;2.82141420789002;6.53870863075925;5.93435152112329;1.15490671901325
Hemiptera;0.026251349925911;0.0319022367258141;0.0229401900503074;0.0521851590580806;0.00709201229282131;0.0000599340725202278;0.205697814479448;0.000645335069191143;0.00208894536213469;0.0179924776541205;0.076009395913664;0.0138751782384556;0.0517196625567813;0.159810321468161;0.00631404856484845
Hymenoptera;0.00107366200366678;0.0195288598817051;0;0.00498841076287413;0.0289196501273936;0.0160023973629008;0.0117096439764848;0;0.00156035578144854;0.0830545355233433;0.0124909512623912;0.0636783542344582;0.0145684620376379;0.00681118364330583;0.000510070018702567
Lepidoptera;0.00669939975387397;0.18111360391597;0.133035215204025;0;0.537574531795855;0.226460893017681;0.177508374732578;0;0;0.10229084227119;0.0917578927152122;0;0.0136275146009085;0.534856509422343;0
Mesostigmata;0.000395559685561444;0.00210755319872187;0.00228060368921185;0;0;0.000913994605933473;0.00121650856050482;0;0.000970775095298602;0;0;0;0.0233939000648929;0.00184751816726198;0.0001391100051007
Neuroptera;0;0;0;0;0;0;0;0;0.0000609911054637865;0.000169208253800506;0;0;0;0;0.00613629689166422
Orthoptera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poduromorpha;0;0;0;0;0.00666298932695928;0;0;0;0.00018297331639136;0;0;0.00307118569704947;0;0;0.0158508122478631
Psocodea;0.170272747821282;0;0;0;0;0;0;0;0;0;0;0.00517348543014881;0;0;0
Sarcoptiformes;0.00145666423889294;0;0;0;0;0;0;0;0.000335451080050826;0.0000534341854106862;0.00768219356173086;0.00177324412270118;0;0;0.00448243349768923
Thysanoptera;0;0;0.00332029066517608;0.00671000033591992;0.0031257387512805;0;0.0194341737030401;0;0;0.00336338511501708;0.0211925128159671;0.00987166831194472;0.00233614536015574;0.00128094592930164;0
unclassified;0.00382374362709395;0.0126623155890951;0.00146450531022918;0.00786052605058954;0;0;0;0.00461835445168966;0.00173316391359593;0.0119009805173023;0.00101198126726647;0.00670298465625876;0.00412070084360805;0.0502524941495258;0.00261217676244648
