;SIUQ3G;STHFJP;S8APX1;SACBBR;SIRUBH;S5MEZA;SCNXZK;SC1YIM;SBWPUY;SY34ZS;SUXEKB;SG3CB2;SLWUQ2;SKYQAL;SQVR9H
Araneae;3991;7944;982;2991;2010;0;3656;54;4116;38175;17420;2329;6995;1195;0
Blattodea;34032;18728;21454;6308;25184;11205;14513;12376;35318;43011;27344;20346;4387;23233;20855
Coleoptera;140;60;14674;258;64372;391;20571;21;6285;9019;1937;382;25232;11907;1018
Collembola;131844;40395;270402;151937;430734;115211;189730;291143;18327;69528;85489;473213;104812;167301;171799
Diptera;304397;372912;357493;183839;442427;335988;940539;166405;386069;863567;728442;477155;203611;486678;165142
Hemiptera;4181;1877;2052;6214;810;4;34325;115;411;6061;10290;2277;1594;12975;817
Hymenoptera;171;1149;0;594;3303;1068;1954;0;307;27978;1691;10450;449;553;66
Lepidoptera;1067;10656;11900;0;61398;15114;29621;0;0;34458;12422;0;420;43425;0
Mesostigmata;63;124;204;0;0;61;203;0;191;0;0;0;721;150;18
Neuroptera;0;0;0;0;0;0;0;0;12;57;0;0;0;0;794
Orthoptera;10102;7630;5172;7080;7445;14765;17680;22275;46127;24566;25125;26347;5803;5192;4582
Poduromorpha;0;0;0;0;761;0;0;0;36;0;0;504;0;0;2051
Psocodea;27119;0;0;0;0;0;0;0;0;0;0;849;0;0;0
Sarcoptiformes;232;0;0;0;0;0;0;0;66;18;1040;291;0;0;580
Thysanoptera;0;0;297;799;357;0;3243;0;0;1133;2869;1620;72;104;0
unclassified;609;745;131;936;0;0;0;823;341;4009;137;1100;127;4080;338
