Name;Sample_ID;Treatment;Treat;Sample_Running_Num;Samples_Name;Trap_ID;Habitat;TotalSeqs;Date;Lon;Lat;EtOH;Wet_weight;Name;Sample_order
SQVR9H_L;ELA001_L10;Lysis;L;10;SQVR9H;TGXFSR;Forest;368060;2019-04-13;15.585445;58.28649;95.2;1.08;Forest_04/13;A_SQVR9H
SBWPUY_L;ELA001_L13;Lysis;L;13;SBWPUY;TGXFSR;Forest;502662;2019-04-20;15.585445;58.28649;95.1;0.88;Forest_04/20;B_SBWPUY
SUXEKB_L;ELA001_L9;Lysis;L;9;SUXEKB;TGXFSR;Forest;921565;2019-04-27;15.585445;58.28649;95.0;1.27;Forest_04/27;C_SUXEKB
SG3CB2_L;ELA001_L12;Lysis;L;12;SG3CB2;TGXFSR;Forest;1017104;2019-05-04;15.585445;58.28649;95.1;1.45;Forest_05/04;D_SG3CB2
SIUQ3G_L;ELA001_L11;Lysis;L;11;SIUQ3G;TGXFSR;Forest;523804;2019-05-11;15.585445;58.28649;95.1;1.28;Forest_05/11;E_SIUQ3G
STHFJP_L;ELA001_L5;Lysis;L;5;STHFJP;TDGFXV;Grassland;472001;2019-04-13;15.19485;56.93642;94.4;5.18;Grassland_04/13;F_STHFJP
S5MEZA_L;ELA001_L3;Lysis;L;3;S5MEZA;TDGFXV;Grassland;510765;2019-04-20;15.19485;56.93642;94.4;5.00;Grassland_04/20;G_S5MEZA
SY34ZS_L;ELA001_L4;Lysis;L;4;SY34ZS;TDGFXV;Grassland;1245207;2019-04-27;15.19485;56.93642;94.3;4.72;Grassland_04/27;H_SY34ZS
SCNXZK_L;ELA001_L8;Lysis;L;8;SCNXZK;TDGFXV;Grassland;1299458;2019-05-04;15.19485;56.93642;94.8;1.27;Grassland_05/04;I_SCNXZK
SKYQAL_L;ELA001_L6;Lysis;L;6;SKYQAL;TDGFXV;Grassland;778198;2019-05-11;15.19485;56.93642;94.9;1.79;Grassland_05/11;J_SKYQAL
SC1YIM_L;ELA001_L14;Lysis;L;14;SC1YIM;T7WIMF;Wetland;511890;2019-04-13;14.75969;57.3824;95.1;1.42;Wetland_04/13;K_SC1YIM
S8APX1_L;ELA001_L1;Lysis;L;1;S8APX1;T7WIMF;Wetland;728706;2019-04-20;14.75969;57.3824;94.2;5.33;Wetland_04/20;L_S8APX1
SLWUQ2_L;ELA001_L2;Lysis;L;2;SLWUQ2;T7WIMF;Wetland;372712;2019-04-27;14.75969;57.3824;94.4;4.47;Wetland_04/27;M_SLWUQ2
SIRUBH_L;ELA001_L7;Lysis;L;7;SIRUBH;T7WIMF;Wetland;1065678;2019-05-04;14.75969;57.3824;94.7;1.94;Wetland_05/04;N_SIRUBH
SACBBR_L;ELA001_L15;Lysis;L;15;SACBBR;T7WIMF;Wetland;379191;2019-05-11;14.75969;57.3824;94.8;0.20;Wetland_05/11;O_SACBBR
