"SIUQ3G_L"	"STHFJP_L"	"S8APX1_L"	"SACBBR_L"	"SIRUBH_L"	"S5MEZA_L"	"SCNXZK_L"	"SC1YIM_L"	"SBWPUY_L"	"SY34ZS_L"	"SUXEKB_L"	"SG3CB2_L"	"SLWUQ2_L"	"SKYQAL_L"	"SQVR9H_L"
"0043115c023a616869a6241ab9b4f065"	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0
"005e346c578ba44a4efc6767b23e379d"	0	258	0	0	0	155	0	88	0	576	0	0	0	0	0
"009c68843e272b2abd2865acd9ac4f00"	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0
"00cd2abdf3e215ca69abc89538380583"	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
"01372324c7e9c5d446fbeb713251f662"	0	0	0	0	0	0	0	0	12	57	0	0	0	0	0
"0149a9757872f84333d9b1a57a5eeeb9"	0	0	0	0	0	0	0	0	0	4433	0	0	0	0	0
"016100de5d1236396f19f306e872340b"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"0213a01a6f4ca2f6b6ecb6d522ff308c"	0	0	0	0	0	0	2001	0	0	0	0	0	0	0	0
"02433d601f1d2efcfbb47f4448510808"	0	0	0	0	0	0	0	0	0	4090	0	0	0	0	0
"02b597dca17bcf50f2fd0c7e4da2899e"	0	0	0	0	0	0	1261	0	0	0	0	0	0	0	0
"02befe5a7078b847529b5c0863bcd545"	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0
"033783afb850c18de93f9fca812e94bb"	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
"0356ac282ab51a409e15199e44d49f5e"	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0
"0393e7e75c00c9b0590676f542deb7c8"	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0
"04008f141329dbfb0c149731c8090841"	0	0	0	0	0	0	0	0	0	0	7297	0	0	0	0
"0471e7e45568fa358b752e654a85a32e"	0	0	6337	0	6079	0	0	0	0	0	0	0	0	0	0
"047f7d2933054bc37803d6e4b2ce20fe"	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0
"0482b3f595d2af6c89f3a891e241c09f"	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0
"04d7e731301d018f9dd7c422f0812b63"	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"04da8861bb912cf1a3d3573fbe16b218"	0	0	0	0	0	1353	0	0	0	0	0	0	0	0	0
