	E_SIUQ3G	F_STHFJP	L_S8APX1	O_SACBBR	N_SIRUBH	G_S5MEZA	I_SCNXZK	K_SC1YIM	B_SBWPUY	H_SY34ZS	C_SUXEKB	D_SG3CB2	M_SLWUQ2	J_SKYQAL	A_SQVR9H
Araneae	3991	7944	982	2991	2010	0	3656	54	4116	38175	17420	2329	6995	1195	0
Blattodea	0	0	5831	0	0	0	0	0	0	14553	0	0	0	0	0
Coleoptera	140	60	14674	258	64372	391	20571	21	6285	9019	1937	382	25232	11907	1018
Collembola	131844	40395	270402	151937	430734	115211	189730	291143	18327	69528	85489	473213	104812	167301	171799
Diptera	290197	371688	347921	165379	432636	333028	920042	144625	379297	817404	722354	463011	201523	481810	149438
Hemiptera	4181	1877	2052	6214	810	4	34325	115	411	6061	10290	2277	1594	12975	817
Hymenoptera	171	1149	0	594	3303	1068	1954	0	307	27978	1691	10450	449	553	66
Lepidoptera	1067	10656	11900	0	61398	15114	29621	0	0	34458	12422	0	420	43425	0
Mesostigmata	63	124	204	0	0	61	203	0	191	0	0	0	721	150	18
Neuroptera	0	0	0	0	0	0	0	0	12	57	0	0	0	0	794
Orthoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poduromorpha	0	0	0	0	761	0	0	0	36	0	0	504	0	0	2051
Psocodea	27119	0	0	0	0	0	0	0	0	0	0	849	0	0	0
Sarcoptiformes	232	0	0	0	0	0	0	0	66	18	1040	291	0	0	580
Thysanoptera	0	0	297	799	357	0	3243	0	0	1133	2869	1620	72	104	0
unclassified	609	745	131	936	0	0	0	823	341	4009	137	1100	127	4080	338
