	Orders	Grassland	Wetland	Forest
0043115c023a616869a6241ab9b4f065	Hymenoptera	0	0	253
005e346c578ba44a4efc6767b23e379d	Diptera	1241	88	0
009c68843e272b2abd2865acd9ac4f00	Mesostigmata	0	414	0
00cd2abdf3e215ca69abc89538380583	unclassified.Arthropoda	86	0	0
010bd7bfe0a99bc90dcab5b2697085b4	Collembola_X	0	0	0
01372324c7e9c5d446fbeb713251f662	Neuroptera	57	0	12
0149a9757872f84333d9b1a57a5eeeb9	Diptera	4433	0	0
014e82877a4bcfa62823d72cf335d087	Diptera	0	0	0
016100de5d1236396f19f306e872340b	Collembola_X	0	0	4
0213a01a6f4ca2f6b6ecb6d522ff308c	Diptera	2001	0	0
02433d601f1d2efcfbb47f4448510808	Hymenoptera	4090	0	0
02b597dca17bcf50f2fd0c7e4da2899e	Diptera	1261	0	0
02befe5a7078b847529b5c0863bcd545	Diptera	0	162	0
0331780a3e0815dad4984f01f069ca96	Diptera	0	0	0
033783afb850c18de93f9fca812e94bb	Coleoptera	0	0	145
0356ac282ab51a409e15199e44d49f5e	Diptera	0	603	0
037c271a5843525474e1df29ad110d4e	Coleoptera	0	0	0
0393e7e75c00c9b0590676f542deb7c8	Diptera	0	212	0
03b9791a197f6de5ae0c18e4a9a0ff82	Coleoptera	0	0	0
04008f141329dbfb0c149731c8090841	Araneae	0	0	7297
041b7c3ee951eaf2a09a25d5477688c2	Diptera	0	0	0
046558d65012f0364343e50e29794052	Hymenoptera	0	0	0
0471e7e45568fa358b752e654a85a32e	Diptera	0	12416	0
047f7d2933054bc37803d6e4b2ce20fe	Diptera	382	0	0
0482b3f595d2af6c89f3a891e241c09f	Coleoptera	0	0	106
04d7e731301d018f9dd7c422f0812b63	Hymenoptera	0	0	171
04da8861bb912cf1a3d3573fbe16b218	Diptera	1428	0	0
04eea2bb3e174b6c83017feeccac9891	Hymenoptera	0	0	0
0528a6dd1d9a0fb70ea38e8991b74cd4	Diptera	0	110	0
054b1fccc091e3db423a3964d4d00b83	Thysanoptera	0	0	0
05591ec67b8b72c325a0a920d2f037bd	Diptera	0	341	0
056da051cc8741ec06a689f5ef31bc98	Diptera	3324	0	0
05c7db56787bff5e60a8cb857d8bcdbe	Diptera	0	1324	0
05cc7cf1f1fc9f625c6f8aeb46b9ef35	Coleoptera	0	0	84
05d0e9b2423a8847281b0b2368d45656	Diptera	968	0	0
0600e28a521e414ad4c9d3801547764a	Hemiptera	1891	0	0
061c3095ca7d7843fca76d7ae1497fc0	Diptera	29765	69	0
064d5cf365281c73fde13500a9a68f86	unclassified.Animalia	0	0	0
06682e2228a1a50d9f18181e2c8983cc	Diptera	0	0	0
068f7dd9a125bef545e036ce870e4c57	Diptera	24	0	0
06b26a0c01000b446c724f4938057a38	Thysanoptera	0	0	0
06cc310af8556229492e9f43d795bb2d	Orthoptera	34267	1621	2755
07cee10fc44ae52265d3ad6f429cefe1	Hymenoptera	163	0	0
07f234477b8c687911da911a8731c283	Diptera	0	0	0
07f74f6f08f226d3aa14b974539da793	Diptera	94	0	0
08032e9dc5525d09eeea24d3cdb7a116	Lepidoptera	0	0	0
083aadd0c34219e2ad22a6e5c2d30e5f	Araneae	0	0	2
0858959ab0ea186344b4efd48fd73ebf	Diptera	386	0	0
086cf92cdebc42d8fb58c9f2055b0b89	Diptera	27045	0	0
088d6fa46fa943ac9c8a25bbbce54848	Diptera	2484	0	0
088fa2db9232d55db48d5739d74b090b	Diptera	9811	13561	0
089ba876a0777bb7286689befba13374	Blattodea	98601	63540	136945
08a1e03ab5d703323d25da926d0573e5	Lepidoptera	0	0	0
08a54a5648f5461568925aea33575579	Hemiptera	1287	0	0
08e80a9785fcafae669c7c244e7a1c67	Lepidoptera	0	7	0
092ac41105cee3dde919da563c8f6337	Diptera	190	0	0
094a4e9658b541cca74366c214e0730f	Diptera	0	0	0
0954bc0f680168869b67361c8cebcf70	Collembola_X	0	0	0
096ca8322f2a528f1975d67db4c9cf06	Coleoptera	0	0	0
097f63e0aabd3f67fb308fbc47c600ea	Diptera	0	0	0
098e30b352da1da7368357f5b67d9aed	Diptera	0	3062	0
09a744ee97df0c8eef59dd39778e7cf2	Diptera	4352	0	0
09bebd045923833a3a77046be0355d94	Lepidoptera	0	0	0
09d4530cfe612ac5530831611671744c	Diptera	0	0	5092
0a10f908f9829a1a6a6e3724ca1139cd	Coleoptera	0	0	0
0a73d2e0f2a6ece0b381f10c15c4c87d	Lepidoptera	0	0	0
0aa0b3341547a32a9b5272eb1d599e6b	Diptera	0	0	562
0aba142c37c233474f09b24c41b64d75	Diptera	1741	0	0
0b026d8810694e37abf0babdaa0fa31d	Diptera	0	0	0
0b321e163f38476ecb7a47612ef71e23	Diptera	1231	0	0
0b59d372ff5628c11271fddb1c41055e	Blattodea	0	24	0
0b62710b061642d8ec1b407fed5b5236	Lepidoptera	0	0	0
0ba12a40e48b460425247b48fc53dc1b	Diptera	4	0	0
0c09f6dd53a01f962e130f880505e5bd	Coleoptera	0	0	27
0c101c3904d153a2c2cd55108757c07a	Araneae	733	54	0
0c1c144050d3c80923785f48ae33dc58	Diptera	0	0	0
0c4bc5068ef5fd5d7d7b1d5a834bc3e0	Diptera	0	0	0
0c96fb0346674ad3d0bab09509c7960b	Diptera	0	0	0
0ca5b67414ffe7f9e9d5a635a31d826a	unclassified.Arthropoda	0	0	144
0cc2b3d0ca15310728108afa583c4805	Diptera	0	0	0
0cce0d88aa2c0a28a5b3e94124123ddd	Diptera	0	0	0
0cfb3cd9f3f0e3fc485330b3cd5a757a	Diptera	0	0	0
0d1f7623ce480d74cbb9cdb70054f807	Diptera	2534	0	0
0d49db27f03d4916e3995b82419de962	unclassified.Insecta	0	0	0
0d58dab685c715a7064badd2ea9e67be	Diptera	4805	135	31285
0d7f6f1da0d6e29fa942d5ac284cb89a	Diptera	147	0	0
0dce40f2f23e34af34686fc9ba5e114f	Diptera	0	0	0
0df287bf7b7d0fa030446bd05306453b	Diptera	0	183	0
0e45c20317e0065f54c7d5f4bee98091	Diptera	8409	0	279
0edd766c8ac26f30da72e97152739f1a	Hemiptera	158	0	0
0ee4e125fe2cf22c87b629b3753f5a36	Lepidoptera	1899	0	0
0eeea42c4588fd6f999da21f7fbfa56a	Diptera	0	33	0
0f0a4e883af5bff0bd58c6adcc76364d	Sarcoptiformes	0	0	300
0f2c82c5bfd36fd19afb65a0ae09bb70	Diptera	0	112	0
0f49ea88f95d13c4b0da10fe35a8de49	Diptera	3213	0	0
0f6670555bafc987beb47378740a93f7	Araneae	203	0	0
0f74e4819941eb06ce085f842371df89	Diptera	0	171	0
0f8be99e400ac4778a1ffd9d2ebf4e98	Lepidoptera	791	0	0
0f91904c9048858713df26766b3244b6	Diptera	0	0	38
0f94418c25cf48ecba32339c7397c7cf	Diptera	424	448	0
0fb1b1be894737575bf2010f2685ce9f	Diptera	1267	0	0
0fc09662cd78794971f18496d7f66c2f	Diptera	0	0	4671
0fecf2ad502b63ae987301f5e3a599c2	Diptera	2870	2987	59
100fd90e76389acf074caf9020f56529	Diptera	0	0	0
103cf67e39649770ca725b6907d07030	Diptera	1961	0	0
109823ed4695e44353ec18b8ff6004b6	Collembola_X	0	0	0
10b4c10089b9700fdd3a92defa20086a	Hymenoptera	0	0	0
10dc0bf0a57af05b9e94cb62f68495f6	Coleoptera	0	0	0
10df98ef64148a7e4a3d4e2b8251f233	Diptera	2	0	0
110388d84313feb457587865e68f973f	Diptera	263	0	0
1143c9f10e981f35d9f7a11788a322e1	Diptera	15313	63171	11684
1167e83e1aece5d192b60813baa92d0a	Coleoptera	0	0	0
119e6937d008001c2848e446e8e077a1	Collembola_X	4537	0	0
11e4ec2988f31165b5bab3f670196ca7	Diptera	0	0	0
11f252924db16d25ddd2bbaff5bd705f	Psocodea	0	0	0
1201c2c6c487ade97b1b2995b8d3eec1	Diptera	0	1346	0
121e67710fb05b33fd360e14c52309f2	Diptera	0	0	0
1231dd6511c86c3d9e10e3e5f11f7d56	Coleoptera	0	0	0
12362e65f3091e073cdd829ff2b190c2	Diptera	458	0	0
123ab021ef4f9e63c326847f7db9ad31	Diptera	4532	1394	0
125bc7204d6c80a4ff8a7c8a6df6d4ae	Hemiptera	0	0	0
12761d751580a3015f9c2af5cb110007	Diptera	0	0	0
12aa2295797b9d694f27bc3bec12dd4a	Diptera	229	0	0
12bebc98dbd186dac83e1f5abbed2805	Diptera	0	0	6372
12e097d47db20cc888a33f4188a9fbde	Diptera	0	0	0
12fa0aeb8959aacd87fff25023283430	Hymenoptera	0	0	41
132edde2d5a9ee1fe34d2b36ba2365c1	Diptera	0	0	0
134caa5fb29b306952984caa6e870f2e	Diptera	0	172	0
1366edb83986e241b9197e82d2fd5af9	Diptera	18112	0	0
13823fe38f768323ae9260042319cfea	Diptera	0	0	0
13ee4fd345eef2bd74822886102c4e80	Diptera	0	0	0
1446563998420bb2e6f8e2aad06c9e2c	Hemiptera	118	0	0
146377bd26ad8aea68258e230967a0bb	Diptera	0	0	0
14ce00214ecdb7198dea9c68f8a749a5	Coleoptera	0	0	396
155c691189617799ff9a18b934757666	Araneae	134	0	0
1570baa22235d673ac86254c2bb0fed5	Collembola_X	0	1	0
158d89d9b9c693a6a3b53239a887af3c	Coleoptera	0	1211	0
158ebe3ef29f6a95de178032f00cf648	Diptera	0	0	0
1593c848ecd98af3042465b8c558dc01	Diptera	0	0	0
159a7b915b83a554e2fa513c8a381457	Diptera	0	0	0
15b74432b3c5b011be92f21d87fe2ca7	Hymenoptera	0	0	0
15ee3bf3f46dad0305d8b2b38a8cc240	Diptera	474	0	0
1662b473d22badb0c130572524005770	Diptera	0	0	0
168e33754db8e5fbdac0f07e7f2a59f4	Diptera	0	0	0
16de7d30905537fac4bca227b5191892	Diptera	0	0	0
16e62166acb822cc5a165f093a777fec	Diptera	23699	61	0
16ec85ab9d45858c16c13494ee12ca23	Diptera	0	790	0
16f6ae90e542578e14b100ee09a47504	Coleoptera	9403	0	0
172a7d4e11eb507e1483aff8b8fa3764	Diptera	0	0	0
17485ec680d1b0cc51297b6cfc2d5228	Coleoptera	0	84	0
178db860104c8fee16dfb4bf4b9eef17	Diptera	5626	770	0
17a54299372852faefc6295a01f96b5d	Lepidoptera	0	0	0
17bea8962d377d65db4d2660cfd199e7	Coleoptera	0	0	0
17c3fcf2a8251108ad28d7f382c19ce9	Diptera	2172	0	0
17d229fa1dde2e0a663e339af6f834da	Araneae	0	99	0
180052d4066b6a25224d08d37e77e727	Hymenoptera	38	0	0
188d94ec6880c1c9a52139b94aac723b	Collembola_X	0	0	0
18b81655194d66184cedc9f33aa27918	Diptera	0	0	297
18e60a998c58a2930eeb0d817b3fe5ef	Diptera	0	486	0
192af4bc5012a4e31229b4f8687faf6e	Diptera	0	2480	0
195d3254ae7ce5411e624ea1ac852b25	Diptera	4127	0	0
19ecf830448859d1f1abf8ac1963b53d	Diptera	138	0	0
1a23b83e2faf9b7f09174f609db319cd	Diptera	0	2125	0
1a5cbfddc654b167494c59ae45604874	Diptera	0	1708	0
1a9164b727e8ec1a890e9ccd98c58090	Collembola_X	0	0	0
1b00ad98d1ded899ea36fd5d9ae5d216	Diptera	164	0	0
1b162c3ef5dadac9aaecc180fa39ec27	Araneae	9	0	0
